ID,PLACE,TYPE,VALUE,CREATED_AT
1,livingroom,humi,50.7,"2022-08-31 11:32:28"
2,livingroom,temp,26.7,"2022-08-31 11:32:28"
4,bedroom,temp,25.8,"2022-08-31 11:32:28"
5,livingroom,temp,28,"2022-08-31 12:23:24"
6,livingroom,humi,66,"2022-08-31 12:23:24"
7,livingroom,temp,28,"2022-08-31 12:23:26"
8,livingroom,humi,67,"2022-08-31 12:23:26"
9,livingroom,temp,28,"2022-08-31 12:23:28"
10,livingroom,humi,67,"2022-08-31 12:23:28"
11,livingroom,temp,28,"2022-08-31 12:23:30"
12,livingroom,humi,67,"2022-08-31 12:23:30"
13,livingroom,temp,28,"2022-08-31 12:23:32"
14,livingroom,humi,67,"2022-08-31 12:23:32"
15,livingroom,temp,28,"2022-08-31 12:23:34"
16,livingroom,humi,67,"2022-08-31 12:23:34"
17,livingroom,temp,28,"2022-08-31 12:23:36"
18,livingroom,humi,67,"2022-08-31 12:23:36"
19,livingroom,temp,28,"2022-08-31 12:23:38"
20,livingroom,humi,67,"2022-08-31 12:23:38"
21,livingroom,temp,28,"2022-08-31 12:23:40"
22,livingroom,humi,67,"2022-08-31 12:23:40"
23,livingroom,temp,28,"2022-08-31 12:23:42"
24,livingroom,humi,67,"2022-08-31 12:23:42"
25,livingroom,temp,28.1,"2022-08-31 12:23:44"
26,livingroom,humi,67,"2022-08-31 12:23:44"
27,livingroom,temp,28,"2022-08-31 12:23:46"
28,livingroom,humi,67,"2022-08-31 12:23:46"
29,livingroom,temp,28.1,"2022-08-31 12:23:48"
30,livingroom,humi,67,"2022-08-31 12:23:48"
31,livingroom,temp,28,"2022-08-31 12:23:50"
32,livingroom,humi,67,"2022-08-31 12:23:50"
33,livingroom,temp,28,"2022-08-31 12:23:52"
34,livingroom,humi,67,"2022-08-31 12:23:52"
35,livingroom,temp,28.1,"2022-08-31 12:23:54"
36,livingroom,humi,67,"2022-08-31 12:23:54"
37,livingroom,temp,28,"2022-08-31 12:23:56"
38,livingroom,humi,67,"2022-08-31 12:23:56"
39,livingroom,temp,28,"2022-08-31 12:24:15"
40,livingroom,humi,67,"2022-08-31 12:24:15"
41,livingroom,temp,28,"2022-08-31 12:24:17"
42,livingroom,humi,67,"2022-08-31 12:24:17"
43,livingroom,temp,28,"2022-08-31 12:24:47"
44,livingroom,humi,67,"2022-08-31 12:24:47"
45,livingroom,temp,28,"2022-08-31 12:24:49"
46,livingroom,humi,67,"2022-08-31 12:24:49"
47,livingroom,temp,28,"2022-08-31 12:24:51"
48,livingroom,humi,67,"2022-08-31 12:24:51"
49,livingroom,temp,28,"2022-08-31 12:24:53"
50,livingroom,humi,67,"2022-08-31 12:24:53"
51,livingroom,temp,28,"2022-08-31 12:24:55"
52,livingroom,humi,67,"2022-08-31 12:24:55"
53,livingroom,temp,28,"2022-08-31 12:24:57"
54,livingroom,humi,67,"2022-08-31 12:24:57"
55,livingroom,temp,28,"2022-08-31 12:24:59"
56,livingroom,humi,67,"2022-08-31 12:24:59"
57,livingroom,temp,28,"2022-08-31 12:25:01"
58,livingroom,humi,67,"2022-08-31 12:25:01"
59,livingroom,temp,28,"2022-08-31 12:25:03"
60,livingroom,humi,67,"2022-08-31 12:25:03"
61,livingroom,temp,28,"2022-08-31 12:25:05"
62,livingroom,humi,67,"2022-08-31 12:25:05"
63,livingroom,temp,28,"2022-08-31 12:25:07"
64,livingroom,humi,67,"2022-08-31 12:25:07"
65,livingroom,temp,28,"2022-08-31 12:25:09"
66,livingroom,humi,67,"2022-08-31 12:25:09"
67,livingroom,temp,28,"2022-08-31 12:25:11"
68,livingroom,humi,67,"2022-08-31 12:25:11"
69,livingroom,temp,28,"2022-08-31 12:25:13"
70,livingroom,humi,67,"2022-08-31 12:25:13"
71,livingroom,temp,28,"2022-08-31 12:25:15"
72,livingroom,humi,67,"2022-08-31 12:25:15"
73,livingroom,temp,28,"2022-08-31 12:25:17"
74,livingroom,humi,67,"2022-08-31 12:25:17"
75,livingroom,temp,28,"2022-08-31 12:25:19"
76,livingroom,humi,67,"2022-08-31 12:25:19"
77,livingroom,temp,28,"2022-08-31 12:25:21"
78,livingroom,humi,67,"2022-08-31 12:25:21"
79,livingroom,temp,28,"2022-08-31 12:25:23"
80,livingroom,humi,67,"2022-08-31 12:25:23"
81,livingroom,temp,28,"2022-08-31 12:26:08"
82,livingroom,humi,67,"2022-08-31 12:26:08"
83,livingroom,temp,28,"2022-08-31 12:26:10"
84,livingroom,humi,67,"2022-08-31 12:26:10"
85,livingroom,temp,28,"2022-08-31 12:26:12"
86,livingroom,humi,67,"2022-08-31 12:26:12"
87,livingroom,temp,28,"2022-08-31 12:26:14"
88,livingroom,humi,67,"2022-08-31 12:26:14"
89,livingroom,temp,28,"2022-08-31 12:26:16"
90,livingroom,humi,67,"2022-08-31 12:26:16"
91,livingroom,temp,28,"2022-08-31 12:26:18"
92,livingroom,humi,67,"2022-08-31 12:26:18"
93,livingroom,temp,28,"2022-08-31 12:26:20"
94,livingroom,humi,67,"2022-08-31 12:26:20"
95,livingroom,temp,28,"2022-08-31 12:26:22"
96,livingroom,humi,67,"2022-08-31 12:26:22"
97,livingroom,temp,28,"2022-08-31 12:26:24"
98,livingroom,humi,67,"2022-08-31 12:26:24"
99,livingroom,temp,28,"2022-08-31 12:26:26"
100,livingroom,humi,67,"2022-08-31 12:26:26"
101,livingroom,temp,28,"2022-08-31 12:26:28"
102,livingroom,humi,67,"2022-08-31 12:26:28"
103,livingroom,temp,28,"2022-08-31 12:26:30"
104,livingroom,humi,67,"2022-08-31 12:26:30"
105,bedroom,temp,24.5,"2022-08-31 12:27:33"
